# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AVL9	AVL9	NM_015060.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AXL	AXL	NM_021913.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
B4GALNT4	B4GALNT4	NM_178537.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B4GALT7	B4GALT7	NM_007255.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
B9D2	B9D2	NM_030578.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BLOC1S1-RDH5	BLOC1S1-RDH5	NR_037658.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BLVRA	BLVRA	NM_000712.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BMP2K	BMP2K	NM_198892.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BRF2	BRF2	NM_018310.3		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BYSL	BYSL	NM_004053.3		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C10orf55	C10orf55	NM_001001791.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C15orf41	C15orf41	NM_001290233.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C17orf82	C17orf82	NM_203425.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C19orf33	C19orf33	NM_033520.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C1orf35	C1orf35	NM_024319.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C6orf106	C6orf106	NM_024294.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C6orf47	C6orf47	NM_021184.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CA9	CA9	NM_001216.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CALR	CALR	NM_004343.3		0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CANX	CANX	NM_001024649.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAPN12	CAPN12	NM_144691.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CBL	CBL	NM_005188.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCND1	CCND1	NM_053056.2		0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCND3	CCND3	NM_001760.4		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CCT5	CCT5	NM_012073.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCT8	CCT8	NM_006585.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD44	CD44	NM_000610.3		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CD63	CD63	NM_001257389.1		0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CENPBD1	CENPBD1	NM_145039.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CERS2	CERS2	NM_022075.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD3	CHD3	NM_001005271.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CHRM2	CHRM2	NM_000739.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS1B	CKS1B	NM_001826.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CLIC4	CLIC4	NM_013943.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLOCK	CLOCK	NM_001267843.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLUH	CLUH	NM_015229.3		0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNN2	CNN2	NM_001303501.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COL12A1	COL12A1	NM_004370.5		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COL1A1	COL1A1	NM_000088.3		0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
COL1A2	COL1A2	NM_000089.3		0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
COL4A1	COL4A1	NM_001845.5		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COL4A2	COL4A2	NM_001846.2		0	4	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0
COL4A2-AS1	COL4A2-AS1	NR_046583.1		0	0	0	7	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2
COL6A1	COL6A1	NM_001848.2		0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
COL6A2	COL6A2	NM_001849.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COL6A3	COL6A3	NM_004369.3		0	4	1	2	2	0	0	0	0	0	1	0	0	1	0	0	0	4	0
COTL1	COTL1	NM_021149.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX20	COX20	NM_001312872.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CPSF1	CPSF1	NM_013291.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CPSF6	CPSF6	NM_001300947.1		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CRIM1	CRIM1	NM_016441.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRTAP	CRTAP	NM_006371.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CSDE1	CSDE1	NM_001242891.1		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
CSNK1D	CSNK1D	NM_001893.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSNK1E	CSNK1E	NM_001894.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK2B	CSNK2B.7	NM_001320.6.7		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTSB	CTSB	NM_001908.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSC	CTSC	NM_001814.4		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTSH	CTSH	NM_004390.3		0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
CUL4B	CUL4B	NM_003588.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUTA	CUTA	NM_001014433.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CYB5R3	CYB5R3	NM_001171660.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CYFIP1	CYFIP1.2	NM_001287810.1		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
DBN1	DBN1	NM_080881.2		1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DDAH1	DDAH1	NM_012137.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDOST	DDOST	NM_005216.4		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DEF8	DEF8	NM_207514.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DHDDS	DHDDS	NM_024887.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DHPS	DHPS	NM_001930.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DKK3	DKK3	NM_001018057.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DLG5	DLG5	NM_004747.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DNASE1L1	DNASE1L1	NM_001009932.2		0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
DPY19L1	DPY19L1	NM_015283.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L1P1	DPY19L1P1	NR_036680.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DPY30	DPY30	NM_032574.2		0	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
DSCR3	DSCR3	NM_006052.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DVL1	DVL1	NM_004421.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ECE1	ECE1	NM_001397.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EEF1D	EEF1D	NM_001130053.2.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EEF1G	EEF1G	NM_001404.4		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EEF2	EEF2	NM_001961.3		0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
EHD2	EHD2	NM_014601.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF2AK4	EIF2AK4	NM_001013703.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EIF3E	EIF3E	NM_001568.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EIF4G2	EIF4G2	NM_001172705.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ELL3	ELL3	NM_025165.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EMC9	EMC9	NM_016049.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML6	EML6	NM_001039753.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EPN1	EPN1	NM_001130071.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERAP1	ERAP1	NM_016442.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERC1	ERC1	NM_178040.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERGIC1	ERGIC1	NM_001031711.2		1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ERGIC2	ERGIC2	NM_016570.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
EXOSC1	EXOSC1	NM_016046.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM104A	FAM104A	NM_001098832.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAM207A	FAM207A	NM_058190.3		1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
FAM20A	FAM20A	NM_017565.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAM20B	FAM20B	NM_014864.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM212B	FAM212B	NM_019099.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCE	FANCE	NM_021922.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FARSA	FARSA	NM_004461.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAT1	FAT1	NM_005245.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FAXDC2	FAXDC2	NM_032385.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FBXL18	FBXL18	NM_024963.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKTN	FKTN	NM_001079802.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLNA	FLNA	NM_001110556.1		0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
FLNB	FLNB	NM_001164317.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FLOT1	FLOT1	NM_005803.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FMNL2	FMNL2	NM_052905.3		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
FN1	FN1	NM_212482.1		0	5	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0
FRMD6	FRMD6	NM_001267046.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSTL1	FSTL1	NM_007085.4		0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FXR1	FXR1	NM_005087.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GATC	GATC	NM_176818.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLG1	GLG1	NM_012201.5		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GLS	GLS	NM_014905.4		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GLTSCR2	GLTSCR2	NM_015710.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GNAI2	GNAI2	NM_002070.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB2L1	GNB2L1	NM_006098.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GOLGA2P7	GOLGA2P7	NR_027001.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GPANK1	GPANK1.5	NM_001199237.1.5		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GPATCH4	GPATCH4	NM_015590.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GPR151	GPR151	NM_194251.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GREM1	GREM1	NM_013372.6		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSN	GSN	NM_000177.4		4	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
GTF2A2	GTF2A2	NM_004492.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GUCD1	GUCD1	NM_001284251.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HADHB	HADHB	NM_000183.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDGFRP2	HDGFRP2	NM_001001520.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HMGN2	HMGN2	NM_005517.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMOX1	HMOX1	NM_002133.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HNRNPH1	HNRNPH1	NM_001257293.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	HNRNPM	NM_005968.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HSBP1	HSBP1	NM_001537.3		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSBP1L1	HSBP1L1	NM_001136180.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HSPA13	HSPA13	NM_006948.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA5	HSPA5	NM_005347.4		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HSPA8	HSPA8	NM_006597.5		0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
HSPA9	HSPA9	NM_004134.6		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HSPG2	HSPG2	NM_001291860.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IARS	IARS	NM_002161.5		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IFT140	IFT140	NM_014714.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IGF2BP3	IGF2BP3	NM_006547.2		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IGFBP5	IGFBP5	NM_000599.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
IMMT	IMMT	NM_006839.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
INPP1	INPP1	NM_001128928.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ISG15	ISG15	NM_005101.3		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ITGAV	ITGAV	NM_002210.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ITGB1	ITGB1	NM_033668.2		0	1	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0
KBTBD6	KBTBD6	NM_152903.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KCNAB1	KCNAB1	NM_172160.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KCTD13	KCTD13	NM_178863.4		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KCTD2	KCTD2	NM_015353.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KIAA0368	KIAA0368	NM_001080398.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KLB	KLB	NM_175737.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KLF10	KLF10	NM_005655.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KLHL8	KLHL8	NM_001292003.1		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
L3HYPDH	L3HYPDH	NM_144581.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LAMA4	LAMA4	NM_001105206.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LAMC1	LAMC1	NM_002293.3		0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LARP1	LARP1	NM_015315.4		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIAS	LIAS	NM_006859.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LIMD1	LIMD1	NM_014240.2		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LIMK2	LIMK2	NM_001031801.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LINC00506	LINC00506	NR_047469.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LINC01547	LINC01547	NR_027128.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LLGL2	LLGL2	NM_001031803.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LMNA	LMNA	NM_170707.3		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC100133669	LOC100133669.2	NR_026913.1.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC100652768	LOC100652768	NR_045215.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101927179	LOC101927179	NR_125880.1		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
LOC101928626	LOC101928626	NR_125957.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC101929140	LOC101929140	NR_120423.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC221946	LOC221946	NR_126168.1		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
LOC284023	LOC284023	NR_024349.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LOC349160	LOC349160	NR_046103.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC400927-CSNK1E	LOC400927-CSNK1E	NM_001289912.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC440300	LOC440300	NR_033738.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LOC642423	LOC642423	NR_049748.1		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LOC729950	LOC729950	NR_040033.1		0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
LRP1	LRP1	NM_002332.2		1	2	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0
LRRC15	LRRC15	NM_001135057.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRSAM1	LRSAM1	NM_001005373.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LTBP2	LTBP2	NM_000428.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LY6E	LY6E	NM_001127213.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYSMD1	LYSMD1	NM_212551.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAN1A2	MAN1A2	NM_006699.3		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MAP2K3	MAP2K3	NM_145109.2		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MAP4	MAP4	NM_002375.4		0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MAP4K4	MAP4K4	NM_145686.3		0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
MBOAT7	MBOAT7.4	NM_024298.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MCFD2	MCFD2	NM_001171506.2		0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METTL5	METTL5	NM_001293186.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MFSD14C	MFSD14C	NR_002894.1		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MICAL2	MICAL2	NM_001282663.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MIR1225	MIR1225	NR_030646.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR1228	MIR1228	NR_031597.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR1268A	MIR1268A.5	NR_031672.1.5		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR1268A	MIR1268A.6	NR_031672.1.6		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR198	MIR198	NR_029584.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR3614	MIR3614	NR_037408.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR3620	MIR3620	NR_037415.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR4258	MIR4258	NR_036212.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR4477A	MIR4477A.2	NR_039688.1.2		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MIR4477B	MIR4477B.2	NR_039689.1.2		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MIR4489	MIR4489	NR_039709.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
